County Code,County,Link,Elex_Code,JSON_Response,turnout_data_link
ALA,Alachua,https://tqv.vrswebapps.com/?state=FL&county=ALA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ALA/index.json,453,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ALA/453/data.json
BAK,Baker,https://tqv.vrswebapps.com/?state=FL&county=BAK&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BAK/index.json,90,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BAK/90/data.json
BAY,Bay,https://tqv.vrswebapps.com/?state=FL&county=BAY&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BAY/index.json,222,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BAY/222/data.json
BRA,Bradford,https://tqv.vrswebapps.com/?state=FL&county=BRA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRA/index.json,92,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRA/92/data.json
BRE,Brevard,https://tqv.vrswebapps.com/?state=FL&county=BRE&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRE/index.json,102,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRE/102/data.json
BRO,Broward,https://tqv.vrswebapps.com/?state=FL&county=BRO&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRO/index.json,236,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/BRO/236/data.json
CAL,Calhoun,https://tqv.vrswebapps.com/?state=FL&county=CAL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CAL/index.json,90,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CAL/90/data.json
CHA,Charlotte,https://tqv.vrswebapps.com/?state=FL&county=CHA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CHA/index.json,103,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CHA/103/data.json
CIT,Citrus,https://tqv.vrswebapps.com/?state=FL&county=CIT&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CIT/index.json,115,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CIT/115/data.json
CLA,Clay,https://tqv.vrswebapps.com/?state=FL&county=CLA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLA/index.json,182,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLA/182/data.json
CLL,Collier,https://tqv.vrswebapps.com/?state=FL&county=CLL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLL/index.json,126,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLL/126/data.json
CLM,Columbia,https://tqv.vrswebapps.com/?state=FL&county=CLM&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLM/index.json,89,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/CLM/89/data.json
DES,Desoto,https://tqv.vrswebapps.com/?state=FL&county=DES&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DES/index.json,70,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DES/70/data.json
DIX,Dixie,https://tqv.vrswebapps.com/?state=FL&county=DIX&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DIX/index.json,90,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DIX/90/data.json
DUV,Duval,https://tqv.vrswebapps.com/?state=FL&county=DUV&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DUV/index.json,169,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DUV/169/data.json
ESC,Escambia,https://tqv.vrswebapps.com/?state=FL&county=ESC&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ESC/index.json,176,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ESC/176/data.json
FLA,Flagler,https://tqv.vrswebapps.com/?state=FL&county=FLA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/FLA/index.json,171,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/FLA/171/data.json
FRA,Franklin,https://tqv.vrswebapps.com/?state=FL&county=FRA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/FRA/index.json,95,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/FRA/95/data.json
GAD,Gadsden,https://tqv.vrswebapps.com/?state=FL&county=GAD&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GAD/index.json,217,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GAD/217/data.json
GIL,Gilchrist,https://tqv.vrswebapps.com/?state=FL&county=GIL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GIL/index.json,117,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GIL/117/data.json
GLA,Glades,https://tqv.vrswebapps.com/?state=FL&county=GLA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GLA/index.json,38,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GLA/38/data.json
GUL,Gulf,https://tqv.vrswebapps.com/?state=FL&county=GUL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GUL/index.json,105,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/GUL/105/data.json
HAM,Hamilton,https://tqv.vrswebapps.com/?state=FL&county=HAM&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HAM/index.json,115,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HAM/115/data.json
HAR,Hardee,https://tqv.vrswebapps.com/?state=FL&county=HAR&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HAR/index.json,157,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HAR/157/data.json
HEN,Hendry,https://tqv.vrswebapps.com/?state=FL&county=HEN&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HEN/index.json,109,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HEN/109/data.json
HER,Hernando,https://tqv.vrswebapps.com/?state=FL&county=HER&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HER/index.json,97,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HER/97/data.json
HIG,Highlands,https://tqv.vrswebapps.com/?state=FL&county=HIG&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HIG/index.json,113,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HIG/113/data.json
HIL,Hillsborough,https://tqv.vrswebapps.com/?state=FL&county=HIL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HIL/index.json,185,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HIL/185/data.json
HOL,Holmes,https://tqv.vrswebapps.com/?state=FL&county=HOL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HOL/index.json,146,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/HOL/146/data.json
IND,Indian River,https://tqv.vrswebapps.com/?state=FL&county=IND&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/IND/index.json,99,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/IND/99/data.json
JAC,Jackson,https://tqv.vrswebapps.com/?state=FL&county=JAC&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/JAC/index.json,241,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/JAC/241/data.json
JEF,Jefferson,https://tqv.vrswebapps.com/?state=FL&county=JEF&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/JEF/index.json,89,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/JEF/89/data.json
LAF,Lafayette,https://tqv.vrswebapps.com/?state=FL&county=LAF&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LAF/index.json,65,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LAF/65/data.json
LAK,Lake,https://tqv.vrswebapps.com/?state=FL&county=LAK&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LAK/index.json,124,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LAK/124/data.json
LEE,Lee,https://tqv.vrswebapps.com/?state=FL&county=LEE&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEE/index.json,139,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEE/139/data.json
LEO,Leon,https://tqv.vrswebapps.com/?state=FL&county=LEO&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEO/index.json,86,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEO/86/data.json
LEV,Levy,https://tqv.vrswebapps.com/?state=FL&county=LEV&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEV/index.json,246,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LEV/246/data.json
LIB,Liberty,https://tqv.vrswebapps.com/?state=FL&county=LIB&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LIB/index.json,72,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/LIB/72/data.json
MAD,Madison,https://tqv.vrswebapps.com/?state=FL&county=MAD&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MAD/index.json,96,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MAD/96/data.json
MAN,Manatee,https://tqv.vrswebapps.com/?state=FL&county=MAN&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MAN/index.json,240,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MAN/240/data.json
MRN,Marion,https://tqv.vrswebapps.com/?state=FL&county=MRN&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MRN/index.json,174,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MRN/174/data.json
MRT,Martin,https://tqv.vrswebapps.com/?state=FL&county=MRT&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MRT/index.json,179,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MRT/179/data.json
DAD,Miami-Dade,https://tqv.vrswebapps.com/?state=FL&county=DAD&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DAD/index.json,874,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/DAD/874/data.json
MON,Monroe,https://tqv.vrswebapps.com/?state=FL&county=MON&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MON/index.json,137,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/MON/137/data.json
NAS,Nassau,https://tqv.vrswebapps.com/?state=FL&county=NAS&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/NAS/index.json,125,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/NAS/125/data.json
OKA,Okaloosa,https://tqv.vrswebapps.com/?state=FL&county=OKA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OKA/index.json,186,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OKA/186/data.json
OKE,Okeechobee,https://tqv.vrswebapps.com/?state=FL&county=OKE&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OKE/index.json,64,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OKE/64/data.json
ORA,Orange,https://tqv.vrswebapps.com/?state=FL&county=ORA&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ORA/index.json,287,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/ORA/287/data.json
OSC,Osceola,https://tqv.vrswebapps.com/?state=FL&county=OSC&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OSC/index.json,135,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/OSC/135/data.json
PAL,Palm Beach,https://tqv.vrswebapps.com/?state=FL&county=PAL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PAL/index.json,569,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PAL/569/data.json
PAS,Pasco,https://tqv.vrswebapps.com/?state=FL&county=PAS&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PAS/index.json,146,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PAS/146/data.json
PIN,Pinellas,https://tqv.vrswebapps.com/?state=FL&county=PIN&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PIN/index.json,409,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PIN/409/data.json
POL,Polk,https://tqv.vrswebapps.com/?state=FL&county=POL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/POL/index.json,212,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/POL/212/data.json
PUT,Putnam,https://tqv.vrswebapps.com/?state=FL&county=PUT&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PUT/index.json,158,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/PUT/158/data.json
STJ,St. Johns,https://tqv.vrswebapps.com/?state=FL&county=STJ&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/STJ/index.json,78,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/STJ/78/data.json
STL,St. Lucie,https://tqv.vrswebapps.com/?state=FL&county=STL&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/STL/index.json,96,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/STL/96/data.json
SAN,Santa Rosa,https://tqv.vrswebapps.com/?state=FL&county=SAN&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SAN/index.json,100,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SAN/100/data.json
SAR,Sarasota,https://tqv.vrswebapps.com/?state=FL&county=SAR&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SAR/index.json,192,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SAR/192/data.json
SEM,Seminole,https://tqv.vrswebapps.com/?state=FL&county=SEM&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SEM/index.json,253,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SEM/253/data.json
SUM,Sumter,https://tqv.vrswebapps.com/?state=FL&county=SUM&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SUM/index.json,132,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SUM/132/data.json
SUW,Suwannee,https://tqv.vrswebapps.com/?state=FL&county=SUW&election=,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SUW/index.json,86,https://s3.amazonaws.com/turnoutquickview.electionsfl.org/data/FL/SUW/86/data.json
